Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Report,TPS
query,1000,0,100.1,0.01,0.00,0.00,100.1,query_report_100_20251104-110622,100
query,1000,0,6.8,142.23,0.00,0.19,6.8,query_report_100_20251112-132028,100
query,1000,0,100.1,0.07,0.00,0.00,100.1,query_report_100_20251112-145017,100
query,1000,0,200.4,0.01,0.00,0.00,200.3,query_report_200_20251104-110646,200
query,999,1,200.3,0.05,0.00,0.00,200.2,query_report_200_20251112-145056,200
query,1000,0,199.6,0.08,0.00,0.01,199.0,query_report_200_20251112-132308,200
query,1000,0,300.7,0.01,0.00,0.00,300.5,query_report_300_20251104-110704,300
query,1000,0,300.8,0.06,0.00,0.00,300.4,query_report_300_20251112-133428,300
query,1000,0,300.7,0.01,0.00,0.00,300.4,query_report_300_20251112-145118,300
query,1000,0,401.0,0.03,0.00,0.00,400.6,query_report_400_20251112-133445,400
query,1000,0,401.1,0.01,0.00,0.00,401.0,query_report_400_20251104-110721,400
query,1000,0,401.0,0.01,0.00,0.00,400.5,query_report_400_20251112-145137,400
query,1000,0,501.5,0.01,0.00,0.00,500.3,query_report_500_20251112-133500,500
query,1000,0,501.8,0.01,0.00,0.00,500.5,query_report_500_20251112-145155,500
query,1000,0,501.8,0.01,0.00,0.00,501.3,query_report_500_20251104-110737,500
query,999,1,579.7,0.12,0.00,0.01,578.7,query_report_600_20251112-133514,600
query,1000,0,602.0,0.01,0.00,0.00,601.7,query_report_600_20251104-110752,600
query,1000,0,601.7,0.01,0.00,0.00,601.0,query_report_600_20251112-145218,600
query,1000,0,662.7,0.03,0.00,0.00,661.8,query_report_700_20251112-133528,700
query,1000,0,668.9,0.01,0.00,0.00,667.6,query_report_700_20251112-145234,700
query,1000,0,601.0,0.01,0.00,0.00,600.6,query_report_700_20251104-110807,700
